speciesCode,commonName,order,scientificName,COSEWIC,Cavity_Birds,Waterfowl,Marine_Birds,Shorebirds,Wetland_Birds,Birds_of_Prey,Forest_Birds,Grassland_Birds,Aerial_Insectivores,Arctic_Birds,Long_Distance_Migrants
ALFL,Alder Flycatcher,Passeriformes,Empidonax alnorum,0,0,0,0,0,1,0,0,0,1,0,1
AMCR,American Crow,Passeriformes,Corvus brachyrhynchos,0,0,0,0,0,0,0,0,0,0,0,1
AMGO,American Goldfinch,Passeriformes,Spinus tristis,0,0,0,0,0,0,0,0,0,0,0,1
AMPI,American Pipit,Passeriformes,Anthus rubescens,0,0,0,0,0,0,0,0,0,0,0,1
AMRE,American Redstart,Passeriformes,Setophaga ruticilla,0,0,0,0,0,0,0,1,0,0,0,1
AMRO,American Robin,Passeriformes,Turdus migratorius,0,0,0,0,0,0,0,0,0,0,0,0
ATTW,American Three-toed Woodpecker,Piciformes,Picoides dorsalis,0,1,0,0,0,0,0,1,0,0,0,1
ATSP,American Tree Sparrow,Passeriformes,Spizelloides arborea,0,0,0,0,0,0,0,0,0,0,0,1
BAOR,Baltimore Oriole,Passeriformes,Icterus galbula,0,0,0,0,0,0,0,0,0,0,0,1
BANS,Bank Swallow,Passeriformes,Riparia riparia,1,0,0,0,0,0,0,0,0,1,0,1
BARS,Barn Swallow,Passeriformes,Hirundo rustica,1,0,0,0,0,0,0,0,0,1,0,1
BBWA,Bay-breasted Warbler,Passeriformes,Setophaga castanea,0,0,0,0,0,0,0,1,0,0,0,1
BEKI,Belted Kingfisher,Coraciiformes,Megaceryle alcyon,0,0,0,0,0,1,0,0,0,0,0,0
BAWW,Black-and-white Warbler,Passeriformes,Mniotilta varia,0,0,0,0,0,0,0,1,0,0,0,1
BBWO,Black-backed Woodpecker,Piciformes,Picoides arcticus,0,1,0,0,0,0,0,1,0,0,0,1
BBCU,Black-billed Cuckoo,Cuculiformes,Coccyzus erythropthalmus,0,0,0,0,0,0,0,0,0,0,0,1
BBMA,Black-billed Magpie,Passeriformes,Pica hudsonia,0,0,0,0,0,0,0,0,0,0,0,1
BCCH,Black-capped Chickadee,Passeriformes,Poecile atricapillus,0,1,0,0,0,0,0,1,0,0,0,1
BTBW,Black-throated Blue Warbler,Passeriformes,Setophaga caerulescens,0,0,0,0,0,0,0,1,0,0,0,1
BTNW,Black-throated Green Warbler,Passeriformes,Setophaga virens,0,0,0,0,0,0,0,1,0,0,0,1
BLBW,Blackburnian Warbler,Passeriformes,Setophaga fusca,0,0,0,0,0,0,0,1,0,0,0,1
BLPW,Blackpoll Warbler,Passeriformes,Setophaga striata,0,0,0,0,0,0,0,1,0,0,0,1
BLJA,Blue Jay,Passeriformes,Cyanocitta cristata,0,0,0,0,0,0,0,0,0,0,0,0
BGGN,Blue-gray Gnatcatcher,Passeriformes,Polioptila caerulea,0,0,0,0,0,0,0,0,0,0,0,0
BHVI,Blue-headed Vireo,Passeriformes,Vireo solitarius,0,0,0,0,0,0,0,1,0,0,0,0
BOBO,Bobolink,Passeriformes,Dolichonyx oryzivorus,1,0,0,0,0,0,0,0,1,0,0,1
BOWA,Bohemian Waxwing,Passeriformes,Bombycilla garrulus,0,0,0,0,0,0,0,1,0,0,0,1
BOCH,Boreal Chickadee,Passeriformes,Poecile hudsonicus,0,1,0,0,0,0,0,1,0,0,0,1
BRBL,Brewer's Blackbird,Passeriformes,Euphagus cyanocephalus,0,0,0,0,0,0,0,0,0,0,0,1
BRCR,Brown Creeper,Passeriformes,Certhia americana,0,1,0,0,0,0,0,1,0,0,0,0
BRTH,Brown Thrasher,Passeriformes,Toxostoma rufum,0,0,0,0,0,0,0,0,0,0,0,1
BHCO,Brown-headed Cowbird,Passeriformes,Molothrus ater,0,0,0,0,0,0,0,0,0,0,0,1
CAWA,Canada Warbler,Passeriformes,Cardellina canadensis,1,0,0,0,0,0,0,1,0,0,0,1
CMWA,Cape May Warbler,Passeriformes,Setophaga tigrina,0,0,0,0,0,0,0,1,0,0,0,1
CEDW,Cedar Waxwing,Passeriformes,Bombycilla cedrorum,0,0,0,0,0,0,0,0,0,0,0,1
CSWA,Chestnut-sided Warbler,Passeriformes,Setophaga pensylvanica,0,0,0,0,0,0,0,1,0,0,0,1
CHSP,Chipping Sparrow,Passeriformes,Spizella passerina,0,0,0,0,0,0,0,0,0,0,0,1
CCSP,Clay-colored Sparrow,Passeriformes,Spizella pallida,0,0,0,0,0,0,0,0,0,0,0,1
CLSW,Cliff Swallow,Passeriformes,Petrochelidon pyrrhonota,0,0,0,0,0,0,0,0,0,1,0,1
COGR,Common Grackle,Passeriformes,Quiscalus quiscula,0,0,0,0,0,0,0,0,0,0,0,1
CORA,Common Raven,Passeriformes,Corvus corax,0,0,0,0,0,0,0,0,0,0,0,1
COYE,Common Yellowthroat,Passeriformes,Geothlypis trichas,0,0,0,0,0,1,0,0,0,0,0,0
CONW,Connecticut Warbler,Passeriformes,Oporornis agilis,0,0,0,0,0,0,0,1,0,0,0,1
DEJU,Dark-eyed Junco,Passeriformes,Junco hyemalis,0,0,0,0,0,0,0,1,0,0,0,1
DOWO,Downy Woodpecker,Piciformes,Dryobates pubescens,0,1,0,0,0,0,0,1,0,0,0,1
DUFL,Dusky Flycatcher,Passeriformes,Empidonax oberholseri,0,0,0,0,0,0,0,1,0,1,0,0
EABL,Eastern Bluebird,Passeriformes,Sialia sialis,0,1,0,0,0,0,0,0,0,0,0,0
EAKI,Eastern Kingbird,Passeriformes,Tyrannus tyrannus,0,0,0,0,0,0,0,0,0,1,0,1
EAPH,Eastern Phoebe,Passeriformes,Sayornis phoebe,0,0,0,0,0,0,0,0,0,1,0,1
EATO,Eastern Towhee,Passeriformes,Pipilo erythrophthalmus,0,0,0,0,0,0,0,0,0,0,0,1
EAWP,Eastern Wood-Pewee,Passeriformes,Contopus virens,1,0,0,0,0,0,0,1,0,1,0,1
EUST,European Starling,Passeriformes,Sturnus vulgaris,0,1,0,0,0,0,0,0,0,0,0,0
EVGR,Evening Grosbeak,Passeriformes,Coccothraustes vespertinus,1,0,0,0,0,0,0,1,0,0,0,0
FISP,Field Sparrow,Passeriformes,Spizella pusilla,0,0,0,0,0,0,0,0,0,0,0,1
FOSP,Fox Sparrow,Passeriformes,Passerella iliaca,0,0,0,0,0,0,0,0,0,0,0,1
GCKI,Golden-crowned Kinglet,Passeriformes,Regulus satrapa,0,0,0,0,0,0,0,1,0,0,0,1
GCSP,Golden-crowned Sparrow,Passeriformes,Zonotrichia atricapilla,0,0,0,0,0,0,0,0,0,0,0,1
